#OTU ID	S13D7.MID110-110.P3.jan14_ncdenovo	P3D7.MID46-47.P1.apr13_ncdenovo	S13D7.MID95-95.P1.dec13_ncdenovo	S13D7.MID109-109.P1.jan14_ncdenovo	S13D7.MID101-101.P1.nov13_ncdenovo	S13D7.MID95-95.P1.dec13_otuclust	S13D7.MID101-101.P1.nov13_otuclust	P3D7.MID46-47.P1.apr13_otuclust	S13D7.MID109-109.P1.jan14_otuclust	S13D7.MID110-110.P3.jan14_otuclust	S13D7.MID110-110.P3.jan14_ncref	S13D7.MID95-95.P1.dec13_ncref	S13D7.MID109-109.P1.jan14_ncref	P3D7.MID46-47.P1.apr13_ncref	S13D7.MID101-101.P1.nov13_ncref	S13D7.MID110-110.P3.jan14	S13D7.MID109-109.P1.jan14	S13D7.MID101-101.P1.nov13	P3D7.MID46-47.P1.apr13	S13D7.MID95-95.P1.dec13
M01896:14:000000000-A7ERE:1:1117:17493:9488	1092	289	563	1031	1099	1	1	1	1	1	1092	563	1031	289	1099	2019	1968	1917	604	1176
M01896:2:000000000-A69JN:1:1102:12111:14329	510	118	431	487	656	1	1	1	1	1	510	431	487	118	656	1038	1094	1244	273	922
M01896:14:000000000-A7ERE:1:2116:14821:21832	714	143	300	633	1282	1	1	1	1	1	714	300	633	143	1282	1200	1159	2054	308	611
M00595:54:000000000-A7CT0:1:2113:19379:13810	719	198	549	1468	2049	1	1	1	1	1	719	549	1468	198	2049	1163	2413	3006	356	945
M01896:15:000000000-A7EN9:1:2117:24837:7459	512	185	324	538	399	1	1	1	1	1	512	324	538	185	399	855	943	723	328	597
M00595:54:000000000-A7CT0:1:1108:17828:14764	551	159	356	694	1674	1	1	1	1	1	551	356	694	159	1674	958	1297	2487	305	631
M01896:2:000000000-A69JN:1:1106:10036:5574	662	182	341	548	747	1	1	1	1	1	662	341	548	182	747	1266	1097	1242	365	690
M01896:15:000000000-A7EN9:1:1113:18156:6009	475	105	238	887	760	1	1	1	1	1	475	238	887	105	760	873	1625	1333	229	550
M00595:54:000000000-A7CT0:1:1118:10357:17710	49	27	35	47	53	1	1	1	1	1	49	35	47	27	53	119	123	128	65	80
M00595:54:000000000-A7CT0:1:2109:12807:9008	83	47	13	73	28	1	1	1	1	1	85	13	73	47	28	241	244	99	126	50
M01896:2:000000000-A69JN:1:2108:10660:21238	98	49	41	102	144	1	1	1	1	1	98	41	102	49	144	288	319	366	139	156
M01896:15:000000000-A7EN9:1:1104:4826:10019	284	131	158	282	327	1	1	1	1	1	282	158	282	131	327	551	557	605	256	337
M01896:14:000000000-A7ERE:1:1107:5396:11262	49	60	22	76	93	1	1	1	1	1	49	22	76	60	93	113	175	223	146	65
M01896:14:000000000-A7ERE:1:1103:25376:6175	385	120	217	375	375	1	1	1	1	1	385	217	375	120	375	759	785	750	284	467
M01896:15:000000000-A7EN9:1:1111:13958:24300	396	121	199	350	615	1	1	1	1	1	394	199	350	121	615	724	700	1127	276	425
M01896:2:000000000-A69JN:1:1107:14655:24468	162	108	146	193	669	1	1	1	1	1	162	146	193	108	669	620	736	1775	292	451
M01896:14:000000000-A7ERE:1:1106:18179:11015	191	83	96	154	235	1	1	1	1	1	191	96	154	83	235	408	379	522	182	220
M01896:14:000000000-A7ERE:1:1112:6257:4532	312	134	170	326	255	1	1	1	1	1	312	170	326	134	255	589	670	477	259	402
M00595:54:000000000-A7CT0:1:1119:25019:15779	299	78	146	412	416	1	1	1	1	1	299	146	412	78	416	687	932	873	176	390
M01896:2:000000000-A69JN:1:1116:24996:17776	276	89	151	228	542	1	1	1	1	1	276	149	228	89	542	559	462	1162	214	352
M01896:2:000000000-A69JN:1:2113:20233:5335	319	147	212	256	453	1	1	1	1	1	319	212	256	147	453	590	550	836	293	451
M01896:14:000000000-A7ERE:1:2117:2856:11558	255	92	68	298	623	1	1	1	1	1	255	68	298	92	623	484	608	1057	200	169
M01896:14:000000000-A7ERE:1:1107:16089:13717	149	63	100	171	201	1	1	1	1	1	149	100	171	63	201	383	379	431	139	239
M01896:2:000000000-A69JN:1:2103:24247:5752	59	75	44	66	67	1	1	1	1	1	59	44	66	75	67	227	258	228	206	149
M01896:2:000000000-A69JN:1:2115:24575:13627	182	75	158	321	340	1	1	1	1	1	182	158	321	75	340	344	659	613	148	315
M00595:42:000000000-A5J1T:1:1118:23443:12109	198	81	113	224	245	1	1	1	1	1	198	113	224	81	245	456	515	484	178	304
M00595:42:000000000-A5J1T:1:2119:4751:12624	344	119	206	453	551	1	1	1	1	1	344	206	453	119	551	810	1043	1148	275	536
M00595:42:000000000-A5J1T:1:2109:4400:18210	187	53	112	183	348	1	1	1	1	1	187	112	183	53	348	431	399	677	141	242
M01896:15:000000000-A7EN9:1:2104:4379:6102	175	105	92	209	143	1	1	1	1	1	175	92	209	105	143	391	464	304	205	226
M01896:15:000000000-A7EN9:1:1114:17837:15525	173	77	106	158	472	1	1	1	1	1	173	106	158	77	472	415	431	1118	196	255
M00595:42:000000000-A5J1T:1:2105:18474:13703	133	56	78	159	292	1	1	1	1	1	133	78	159	56	292	305	381	576	127	182
M01896:15:000000000-A7EN9:1:1113:29073:16432	121	33	39	102	124	1	1	1	1	1	121	39	102	33	124	321	278	333	85	138
M01896:2:000000000-A69JN:1:1117:17278:2546	11	10	14	12	40	1	1	1	1	1	11	14	12	10	40	33	45	80	21	35
M01896:2:000000000-A69JN:1:1118:25047:15188	160	64	77	164	249	1	1	1	1	1	160	77	164	64	249	380	422	583	128	193
M01896:2:000000000-A69JN:1:1111:23673:3749	158	65	74	140	191	1	1	1	1	1	158	74	140	65	191	371	371	459	162	211
M01896:14:000000000-A7ERE:1:1117:9172:16535	97	52	67	82	586	1	1	1	1	1	99	67	82	52	586	239	228	1027	121	187
M00595:54:000000000-A7CT0:1:1105:12413:15187	193	76	86	163	244	1	1	1	1	1	193	86	163	76	244	538	472	599	245	234
M01896:2:000000000-A69JN:1:2112:15940:4616	40	18	15	38	125	1	1	1	1	1	40	15	38	18	125	138	142	299	53	58
M01896:14:000000000-A7ERE:1:1105:13034:14024	150	83	85	139	178	1	1	1	1	1	150	85	139	83	178	373	381	377	186	227
	26	26	15	16	57	2	2	1	2	2	22	15	14	26	57	89	130	217	101	70
M01896:2:000000000-A69JN:1:2109:23909:21855	188	105	100	112	165	1	1	1	1	1	188	100	112	105	165	447	330	426	220	215
M00595:54:000000000-A7CT0:1:1114:14316:3012	119	68	87	99	159	1	1	1	1	1	119	87	99	68	159	312	236	331	152	210
M00595:42:000000000-A5J1T:1:1110:21963:15039	23	26	64	25	410	1	0	1	1	1	23	64	25	26	410	74	74	391	116	66
M00595:42:000000000-A5J1T:1:2108:24071:12989	10	11	6	13	8	1	1	1	1	1	10	6	13	11	8	32	38	29	32	15
M01896:2:000000000-A69JN:1:2109:4217:19442	239	66	78	99	242	1	1	1	1	1	237	78	99	66	242	516	272	502	164	192
M01896:2:000000000-A69JN:1:1109:23487:14023	210	96	86	135	394	1	1	1	1	1	210	86	137	96	394	445	305	712	187	218
M00595:54:000000000-A7CT0:1:2103:21116:2958	240	25	81	170	275	1	1	1	1	1	240	81	170	25	275	446	336	501	54	159
M01896:15:000000000-A7EN9:1:2111:26166:10514	200	95	147	167	324	1	1	1	1	1	200	147	167	95	324	426	376	619	205	326
M00595:42:000000000-A5J1T:1:2118:15286:19005	7	18	9	9	20	1	1	1	1	1	7	9	9	18	20	21	41	39	40	15
M01896:14:000000000-A7ERE:1:2110:12975:10001	133	34	47	192	90	1	1	1	1	1	135	47	192	34	90	347	486	276	107	165
M01896:14:000000000-A7ERE:1:1107:25121:20449	5	0	0	0	0	0	0	0	0	1	2	0	0	0	0	13	2	1	2	4
M01896:14:000000000-A7ERE:1:2117:13444:20401	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
M01896:14:000000000-A7ERE:1:1101:10088:20463	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
M01896:15:000000000-A7EN9:1:1101:15068:22713	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0
M01896:14:000000000-A7ERE:1:2118:23415:7375	2	0	2	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	3
M01896:14:000000000-A7ERE:1:1112:3844:19709	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
M01896:15:000000000-A7EN9:1:1112:6392:3634	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
M01896:15:000000000-A7EN9:1:2104:27318:19799	4	2	0	2	2	0	0	0	0	0	4	0	2	2	2	9	6	2	3	8
M01896:14:000000000-A7ERE:1:1114:22320:11276	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0
M01896:15:000000000-A7EN9:1:2101:17864:10189	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0
M01896:14:000000000-A7ERE:1:2104:27431:16007	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
