#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M00595:42:000000000-A5J1T:1:2112:19464:17422	835	372	401	585	1	1	1	1	837	585	401	372	1007	1613	764	662	930	1	930	1548
M01896:14:000000000-A7ERE:1:2109:26315:18455	1635	962	832	1126	1	1	1	1	1635	1126	834	964	1816	2624	1557	1623	1413	1	1413	2237
M01896:15:000000000-A7EN9:1:1112:13650:24235	491	379	306	555	1	1	1	1	491	553	304	378	1064	1164	769	883	441	1	441	889
M01896:2:000000000-A69JN:1:1116:27833:12295	1358	628	953	1040	1	1	1	1	1358	1040	953	628	1720	2509	1766	1161	923	1	923	1583
M00595:42:000000000-A5J1T:1:1101:4532:12230	1037	452	750	597	1	1	1	1	1037	601	759	452	1050	1954	1315	874	880	1	880	1479
M00595:42:000000000-A5J1T:1:1116:17374:4600	198	157	120	316	1	1	1	1	198	316	120	157	641	530	300	400	408	1	408	818
M00595:42:000000000-A5J1T:1:1102:27999:19813	170	170	110	345	1	1	1	1	170	345	110	170	720	483	314	418	458	2	456	909
M01896:14:000000000-A7ERE:1:2112:19502:16076	192	131	54	263	1	1	1	1	192	263	54	131	568	593	165	365	156	1	156	369
M01896:2:000000000-A69JN:1:2103:5035:6461	264	217	118	277	1	1	1	1	264	279	120	217	606	648	291	577	583	1	583	1146
M01896:15:000000000-A7EN9:1:1113:14016:24590	428	346	209	600	1	1	1	1	432	604	209	350	1159	1053	504	788	1163	1	1165	2008
M01896:14:000000000-A7ERE:1:1101:28628:8590	169	129	80	224	1	1	1	1	169	224	80	129	450	471	225	334	297	0	297	578
M00595:42:000000000-A5J1T:1:2102:22099:5968	113	144	106	278	1	1	1	1	113	278	106	144	494	278	272	329	272	1	274	489
M00595:42:000000000-A5J1T:1:1110:15599:11188	156	130	90	224	1	1	1	1	156	224	90	130	480	419	252	331	438	1	438	823
M00595:54:000000000-A7CT0:1:1118:10244:10451	253	214	132	295	1	1	1	1	253	297	134	216	648	633	348	524	587	1	589	1106
M01896:14:000000000-A7ERE:1:2119:20537:21154	245	120	85	185	1	1	1	1	249	185	85	120	401	634	236	296	286	1	286	610
M01896:15:000000000-A7EN9:1:2114:5816:14728	250	139	214	309	1	1	1	1	248	309	220	139	611	560	489	323	212	1	212	454
M00595:54:000000000-A7CT0:1:1103:15693:9915	268	81	184	145	1	1	1	1	268	145	184	81	267	531	378	173	134	1	134	284
M01896:14:000000000-A7ERE:1:1105:17764:11178	155	67	85	157	1	1	1	1	157	160	87	67	356	432	201	174	179	1	181	361
M01896:15:000000000-A7EN9:1:1115:28876:13171	828	654	739	1171	1	1	1	1	828	1173	739	654	1983	1669	1450	1285	843	1	843	1496
M00595:42:000000000-A5J1T:1:2103:20766:3210	303	287	233	381	1	1	1	1	303	383	233	287	722	665	497	593	792	1	794	1404
M01896:2:000000000-A69JN:1:1114:7859:11051	246	165	210	370	1	1	1	1	248	370	210	165	696	613	459	389	277	1	277	528
M01896:15:000000000-A7EN9:1:1113:19402:4774	290	181	153	337	1	1	1	1	290	337	153	181	616	618	368	397	551	1	551	1030
M01896:14:000000000-A7ERE:1:2113:13542:19521	131	75	55	191	1	1	1	1	131	191	55	75	470	421	182	203	91	1	91	223
M00595:42:000000000-A5J1T:1:1111:20695:14539	520	414	248	653	1	1	1	1	524	655	246	414	1341	1307	661	911	1124	1	1126	2072
M01896:2:000000000-A69JN:1:2106:22046:6896	234	200	204	308	1	1	1	1	234	316	207	200	651	548	479	427	569	1	573	1021
M00595:54:000000000-A7CT0:1:1103:23391:21826	151	140	92	226	1	1	1	1	157	228	92	140	480	419	215	321	490	1	490	906
M00595:42:000000000-A5J1T:1:2116:13071:19218	124	68	97	193	1	1	1	1	124	193	94	68	389	321	233	206	336	1	340	724
M00595:54:000000000-A7CT0:1:1107:24083:11329	104	96	95	173	1	1	1	1	104	175	97	96	344	275	213	184	366	1	366	623
M01896:14:000000000-A7ERE:1:1118:28109:19685	115	45	28	59	1	1	1	1	115	59	28	47	107	235	62	101	107	1	107	226
M00595:54:000000000-A7CT0:1:2103:18158:13513	106	72	85	194	1	1	1	1	104	194	85	72	414	340	250	177	100	1	100	247
M01896:14:000000000-A7ERE:1:1110:9532:2564	177	57	37	75	1	1	1	1	177	75	37	57	173	480	84	154	159	1	159	355
M01896:2:000000000-A69JN:1:2108:18795:15961	130	74	41	156	1	1	1	1	130	156	41	74	382	367	150	260	297	1	297	619
M00595:54:000000000-A7CT0:1:1108:15227:11423	132	69	77	200	1	1	1	1	132	200	75	69	443	350	201	219	84	1	84	220
M01896:15:000000000-A7EN9:1:1101:13235:7788	73	59	50	103	1	1	1	1	73	103	52	61	258	208	149	140	152	1	152	307
M00595:54:000000000-A7CT0:1:1118:9403:14996	89	114	60	173	1	1	1	1	89	179	60	114	350	253	148	240	240	1	242	511
M00595:42:000000000-A5J1T:1:2113:17249:17301	93	25	11	45	1	1	1	1	93	45	11	25	90	222	37	50	123	1	123	247
M01896:14:000000000-A7ERE:1:2103:15285:8532	175	88	77	289	1	1	1	1	175	293	77	88	625	492	221	295	306	1	308	684
M01896:2:000000000-A69JN:1:1112:12742:6806	81	56	34	120	1	1	1	1	81	120	34	58	302	243	112	143	182	1	182	346
M00595:42:000000000-A5J1T:1:2119:7483:12228	84	22	11	19	1	1	1	1	84	21	11	22	53	196	32	50	97	1	97	196
M00595:54:000000000-A7CT0:1:2105:16671:23179	54	71	84	127	1	1	1	1	54	129	84	71	270	157	205	164	163	1	163	342
M00595:42:000000000-A5J1T:1:2112:13405:4392	81	45	50	79	1	1	1	1	79	79	50	45	207	238	150	140	131	1	133	309
M01896:14:000000000-A7ERE:1:1110:4845:13367	81	41	36	99	1	1	1	1	81	103	36	41	225	183	93	126	106	1	106	263
M01896:14:000000000-A7ERE:1:1109:16987:11794	76	50	0	87	0	0	0	0	76	87	27	50	190	204	111	136	83	0	81	222
M01896:2:000000000-A69JN:1:2102:14002:15481	70	61	76	141	1	1	1	1	70	141	76	61	322	201	181	156	208	1	208	429
M00595:42:000000000-A5J1T:1:1115:16610:6939	81	69	93	220	1	1	1	1	81	220	93	69	623	282	314	294	307	1	309	698
M00595:42:000000000-A5J1T:1:2113:17247:23378	63	66	20	96	1	1	1	1	63	96	20	66	202	175	44	159	137	1	137	279
M01896:2:000000000-A69JN:1:1115:16009:9175	50	44	23	89	0	0	0	0	50	93	23	44	182	154	78	117	99	0	99	233
M01896:14:000000000-A7ERE:1:1106:13389:17406	37	47	27	83	1	1	1	1	43	89	24	53	207	118	78	135	51	1	51	116
M01896:15:000000000-A7EN9:1:1114:22486:19273	60	29	41	49	1	1	1	1	60	49	41	29	120	128	96	64	106	1	106	222
M01896:2:000000000-A69JN:1:1107:18770:23171	45	23	25	94	1	1	1	1	45	94	25	23	202	118	61	77	93	1	93	216
M01896:14:000000000-A7ERE:1:2118:21973:2710	37	17	9	23	1	1	1	1	37	23	9	17	38	83	25	34	67	1	67	141
M01896:15:000000000-A7EN9:1:1104:6658:20006	36	8	24	19	1	1	1	1	36	19	24	8	49	89	59	30	36	1	38	89
	34	29	10	41	1	2	2	3	32	43	10	29	87	107	41	71	121	2	121	264
