#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M01896:2:000000000-A69JN:1:2106:6750:17275	1934	522	565	454	408	1	1	1	1	1	563	531	413	1941	454	876	1018	2857	773	874
M01896:14:000000000-A7ERE:1:1106:13350:9617	3211	1761	1809	1999	1381	1	1	1	1	1	1805	1761	1379	3197	1999	3083	2793	4466	2382	2586
M01896:14:000000000-A7ERE:1:1113:4092:11043	1735	852	733	1643	786	1	1	1	1	1	733	852	786	1735	1643	2691	1317	2518	1392	1377
M01896:14:000000000-A7ERE:1:2117:14496:24430	1842	997	972	922	1114	1	1	1	1	1	972	997	1114	1844	922	1688	1743	2771	1999	1578
M00595:42:000000000-A5J1T:1:2109:14970:23966	1518	752	490	418	500	1	1	1	1	1	490	750	500	1518	420	865	966	2355	985	1199
M00595:42:000000000-A5J1T:1:2116:15237:12084	2690	1094	677	686	520	1	1	1	1	1	680	1099	520	2692	686	1350	1380	4017	1138	1842
M01896:14:000000000-A7ERE:1:1118:19297:9769	52	49	43	155	34	1	1	1	1	1	43	49	34	52	155	310	103	111	73	86
M00595:42:000000000-A5J1T:1:1112:23343:11856	1484	627	381	339	383	1	1	1	1	1	381	627	383	1490	337	784	857	2365	854	1098
M01896:2:000000000-A69JN:1:1104:22275:4570	1293	696	590	607	369	1	1	1	1	1	590	707	373	1319	613	1349	1288	2236	888	1228
M01896:2:000000000-A69JN:1:1101:21868:10786	40	27	12	14	21	1	1	1	1	1	12	27	21	40	14	38	28	90	55	54
M00595:42:000000000-A5J1T:1:2105:17494:3196	1179	1625	784	718	487	2	1	1	1	1	784	1625	489	1181	718	1528	1747	2071	1169	2648
M01896:15:000000000-A7EN9:1:2109:18176:2424	34	24	35	101	32	1	1	1	1	1	37	26	32	34	101	195	70	76	84	57
M01896:14:000000000-A7ERE:1:1103:13337:10005	1144	495	318	392	287	1	1	1	1	1	320	495	287	1144	390	795	707	1882	657	916
M01896:15:000000000-A7EN9:1:2101:16163:10967	2155	1149	675	709	663	1	1	1	1	1	675	1150	663	2162	709	1585	1568	3651	1520	2050
M01896:2:000000000-A69JN:1:1107:12949:22053	1651	814	718	1163	841	1	1	1	1	1	718	814	841	1651	1163	1998	1311	2363	1520	1305
M00595:42:000000000-A5J1T:1:1119:16330:23966	1167	334	297	245	165	1	1	1	1	1	297	334	165	1169	245	578	657	1883	416	661
M00595:42:000000000-A5J1T:1:2117:21474:11486	1210	1644	718	692	529	1	1	1	1	1	715	1650	532	1214	692	1484	1497	2022	1299	2655
M01896:15:000000000-A7EN9:1:1114:13795:22573	32	21	27	42	14	1	1	1	1	1	27	21	14	32	42	96	52	62	50	34
M00595:54:000000000-A7CT0:1:2116:4799:5713	27	56	61	165	116	1	1	1	1	1	61	56	116	27	165	373	157	61	252	107
